"AndamanandNicobarIslands","Andaman","2004","January","59.1"
"AndamanandNicobarIslands","Andaman","2004","February","109"
"AndamanandNicobarIslands","Andaman","2004","March","26"
"AndamanandNicobarIslands","Andaman","2004","April","30.2"
"AndamanandNicobarIslands","Andaman","2004","May","546.8"
"AndamanandNicobarIslands","Andaman","2004","June","456.6"
"AndamanandNicobarIslands","Andaman","2004","July","313.9"
"AndamanandNicobarIslands","Andaman","2004","August","336.1"
"AndamanandNicobarIslands","Andaman","2004","September","270.8"
"AndamanandNicobarIslands","Andaman","2004","October","239"
"AndamanandNicobarIslands","Andaman","2004","November","177.3"
"AndamanandNicobarIslands","Andaman","2004","December","2.2"
"AndamanandNicobarIslands","Andaman","2005","January","2.7"
"AndamanandNicobarIslands","Andaman","2005","February","0"
"AndamanandNicobarIslands","Andaman","2005","March","3.6"
"AndamanandNicobarIslands","Andaman","2005","April","36.7"
"AndamanandNicobarIslands","Andaman","2005","May","220"
"AndamanandNicobarIslands","Andaman","2005","June","482.7"
"AndamanandNicobarIslands","Andaman","2005","July","400.5"
"AndamanandNicobarIslands","Andaman","2005","August","337.6"
"AndamanandNicobarIslands","Andaman","2005","September","506.4"
"AndamanandNicobarIslands","Andaman","2005","October","329.2"
"AndamanandNicobarIslands","Andaman","2005","November","296.6"
"AndamanandNicobarIslands","Andaman","2005","December","215.8"
"AndamanandNicobarIslands","Andaman","2006","January","6.9"
"AndamanandNicobarIslands","Andaman","2006","February","0.4"
"AndamanandNicobarIslands","Andaman","2006","March","14"
"AndamanandNicobarIslands","Andaman","2006","April","133.6"
"AndamanandNicobarIslands","Andaman","2006","May","336.1"
"AndamanandNicobarIslands","Andaman","2006","June","374.1"
"AndamanandNicobarIslands","Andaman","2006","July","200.5"
"AndamanandNicobarIslands","Andaman","2006","August","243.4"
"AndamanandNicobarIslands","Andaman","2006","September","599.6"
"AndamanandNicobarIslands","Andaman","2006","October","369.4"
"AndamanandNicobarIslands","Andaman","2006","November","57.1"
"AndamanandNicobarIslands","Andaman","2006","December","66.5"
"AndamanandNicobarIslands","Andaman","2007","January","0"
"AndamanandNicobarIslands","Andaman","2007","February","0"
"AndamanandNicobarIslands","Andaman","2007","March","0"
"AndamanandNicobarIslands","Andaman","2007","April","56.8"
"AndamanandNicobarIslands","Andaman","2007","May","338.4"
"AndamanandNicobarIslands","Andaman","2007","June","390.7"
"AndamanandNicobarIslands","Andaman","2007","July","469.2"
"AndamanandNicobarIslands","Andaman","2007","August","455"
"AndamanandNicobarIslands","Andaman","2007","September","546.6"
"AndamanandNicobarIslands","Andaman","2007","October","241.7"
"AndamanandNicobarIslands","Andaman","2007","November","199.4"
"AndamanandNicobarIslands","Andaman","2007","December","34.2"
"AndamanandNicobarIslands","Andaman","2008","January","11.8"
